2020-07-01 10:00:00,100000,0,100000
2020-07-02 10:00:00,0,50000,150000
2020-07-03 10:00:00,12000,0,162000
2020-07-04 10:00:00,98000,0,260000
2020-07-05 10:00:00,5000,0,265000
2020-07-06 10:00:00,3000,0,268000
2020-07-07 10:00:00,100000,0,368000
2020-07-08 10:00:00,0,50000,418000
2020-07-09 10:00:00,0,30000,448000
2020-07-10 10:00:00,1000,0,449000
2020-07-08 15:20:44,1000,0,450000
2020-07-08 15:22:00,11000,0,461000
2020-07-08 15:22:56,9000,0,470000
2020-07-08 15:23:31,1000,0,471000
2020-07-08 15:23:53,100,0,471100
2020-07-08 15:23:56,50,50,471200
2020-07-08 15:37:06,1000,0,472200
2020-07-08 15:37:08,200,200,472600
2020-07-08 15:41:39,1000,0,473600
2020-07-08 15:49:37,1000,0,474600
2020-07-08 15:50:36,111,0,474711
2020-07-08 15:50:55,20000,0,494711
2020-07-08 15:51:14,3000,0,497711
2020-07-08 15:54:43,11111,0,508822
2020-07-08 16:00:49,12000,0,520822
2020-07-08 16:05:15,5000,0,525822
